source_site,product_url,image_url,brand,variant_id,product_id,price_egp,original_price_egp,in_stock,is_best_seller,is_new_arrival,seller_name,category_l3,model,storage_gb,ram_gb,network,sim_config,color
btech,https://btech.com/en/p/37e4cef1-6eaf-4533-9080-b2561118fca9,2/c/f/a/2cfa695a50727297c29fda9b1896cacbecc2056f_Designer__51_.png,Oppo,37e4cef1-6eaf-4533-9080-b2561118fca9,0615a91f-5b2e-425c-a879-8f43663c1cb9,10319.0,10319.0,True,False,False,Remoz,Smart Phones,Oppo A6,128.0,4.0,4G,Dual-SIM,Aurora Gold
btech,https://btech.com/en/p/oppo-reno-14-256gb-12gb-5g-dual-sim-opal-white-cph2737,b/6/f/e/b6fe88b0244a412f286d800ddfd85e503e573f28_876a1f778ded8f503ac686b46ec6737efbad3892dcf4622b46fee5c5378cb24b_copy.jpg,Oppo,f8ed8610-3220-40dc-9dfb-57325268e08e,4a983e82-34b5-44e6-af78-1298a6a68b11,29555.0,29555.0,True,False,False,ISM Mobile Shop,Smart Phones,Oppo Reno 14,256.0,12.0,5G,Dual-SIM,Opal White
btech,https://btech.com/en/p/xiaomi-redmi-15c-128gb-6gb-ram-4g-dual-sim-midnight-gray,e/4/b/7/e4b7de14ae083e9b1cb33e7a8e7158aa63a8d8eb_bb722adf1f341329739bedc57eaa21f76a72ae75b8e728772601618256710403.jpg,Xiaomi,8b072a05-d94c-4ea2-8dd1-9f41f8103c06,122229b5-28de-4c40-a2c2-9344d1d313e1,8354.0,8354.0,True,False,False,Remoz,Smart Phones,Xiaomi Redmi 15C,128.0,6.0,4G LTE,Dual-SIM,Midnight Black
btech,https://btech.com/en/p/2e87adcf-2c29-4ca4-8b4e-257097fb9a9e,a/4/a/c/a4ac2425da492759c7afdff13132147a8aabb496_Honor_600_5G_Orange_3.jpg,Honor,2e87adcf-2c29-4ca4-8b4e-257097fb9a9e,609ecdae-2293-46e2-9c0d-14296e9cc483,26999.0,26999.0,True,False,False,ISM Mobile Shop,Smart Phones,Honor 600,256.0,8.0,5G,Dual-SIM,Orange
btech,https://btech.com/en/p/aaa750eb-99da-4e1f-9ccb-7dfe7ddd7dc0,f/2/6/1/f261f34ccdcd901a36a82dedd381139718f50fc1_5461697e_887d_4d1d_bfbf_4f53f5e40ab6.jpg,Vivo,aaa750eb-99da-4e1f-9ccb-7dfe7ddd7dc0,8884cb5c-f3ea-48d1-bcf9-cc1ca1434e6c,8299.0,8299.0,True,False,False,ISM Mobile Shop,Smart Phones,Vivo Y05,128.0,4.0,4G,Dual-SIM,Black
btech,https://btech.com/en/p/realme-c75-256gb-8gb-4g-dual-sim-gold,e/8/6/d/e86d23332de0403668447d5bc9fde1f35db95738_1178e9a4c93c4a9580956ee54ff296af0343f6777f78405e2792ffc928be99b9.jpeg,Realme,3663a15a-4bdb-4689-b852-aef76fa77237,1802d8e4-efc7-4d6c-9a0c-6253fe502e7e,10914.0,11114.0,True,False,False,B.TECH,Smart Phones,Realme C75,256.0,8.0,4G LTE,Dual-SIM,Gold
btech,https://btech.com/en/p/xiaomi-redmi-15c-128gb-6gb-ram-4g-lte-dual-sim-mint-green,b/6/9/f/b69f8775424de58ae920ff204032be748b411980_88a32ac7f63f5795e004d711b993f4a9305d44b1ff9d5c6990879b5b1a0d4843.jpg,Xiaomi,ff63e971-dbfa-4568-b817-5ac67bf9a042,122229b5-28de-4c40-a2c2-9344d1d313e1,8500.0,8500.0,True,False,False,VOOC,Smart Phones,Xiaomi Redmi 15C,128.0,6.0,4G LTE,Dual-SIM,Mint Green
btech,https://btech.com/en/p/c8dbebe0-6b1c-4340-b6cd-94c2d2416e5b,a/9/d/d/a9dd845d327c31320eb8ba6c634bdd6ca8c9e81a_Designer__3_.png,Oppo,c8dbebe0-6b1c-4340-b6cd-94c2d2416e5b,6cb1583f-fcbd-4497-bacf-390552d8875c,8998.0,8998.0,True,False,False,Ehab Group,Smart Phones,Oppo A6x,128.0,4.0,4G,Dual-SIM,Purple Plum
btech,https://btech.com/en/p/3ed0f3c2-560f-4666-8631-acbea45404b6,e/7/3/7/e7376a66ab3d487484630e13f8abeeb91b440d62_72998536756.jpg,Oppo,3ed0f3c2-560f-4666-8631-acbea45404b6,89ec565b-1663-465c-8814-26a6d05c89f4,29350.0,29350.0,True,False,False,vxstore,Smart Phones,Oppo Reno 15,256.0,12.0,5G,Dual-SIM,Aurora Blue
btech,https://btech.com/en/p/302b481c-3af1-4515-bc50-94660dba7810,d/3/8/d/d38da6d10df3d6756c5c603ee6a4bf2da37ab68a_ugyftdrc7fbcabc5693b033bfd0271c442ac1e76bdc82cf32210f096132d337e353802c_copy_2.jpg,Itel,302b481c-3af1-4515-bc50-94660dba7810,d4abb1ac-da7b-4f29-9e59-cf71a616d4a8,6527.0,6527.0,True,False,False,B.TECH,Smart Phones,Itel P65,128.0,8.0,4G LTE,Dual-SIM,Cyber Black
btech,https://btech.com/en/p/1d3d5b6b-6000-4e55-ad50-16f02df371f1,b/d/1/b/bd1b63469acb293b8fe93e4bcc3a6234fc430d31_Designer__53_.png,Oppo,1d3d5b6b-6000-4e55-ad50-16f02df371f1,0615a91f-5b2e-425c-a879-8f43663c1cb9,15398.0,15398.0,True,False,False,Remoz,Smart Phones,Oppo A6,256.0,8.0,4G,Dual-SIM,Sapphire Blue
